题号,统计类型,项目,统计指标,统计值,频数,有效样本量
Q1,单选题频率,研一,频率,0.7875,126,160
Q1,单选题频率,研二,频率,0.1875,30,160
Q1,单选题频率,延期,频率,0.025,4,160
Q2,单选题频率,"有,且持续3个月以上",频率,0.44375,71,160
Q2,单选题频率,"有,但不足3个月",频率,0.35,56,160
Q2,单选题频率,尚未开始实习,频率,0.20625,33,160
Q4,单选题频率,听说过但不清楚具体内容,频率,0.35,56,160
Q4,单选题频率,完全不了解,频率,0.31875,51,160
Q4,单选题频率,有所了解,频率,0.2875,46,160
Q4,单选题频率,非常了解,频率,0.04375,7,160
Q5,单选题频率,不太清楚,频率,0.40625,65,160
Q5,单选题频率,基本清楚,频率,0.35,56,160
Q5,单选题频率,完全不清楚,频率,0.16875,27,160
Q5,单选题频率,非常清楚,频率,0.075,12,160
Q3,多选题选择率,尚未产出任何材料,选择率,0.45,72,160
Q3,多选题选择率,商业计划书/营销方案,选择率,0.21875,35,160
Q3,多选题选择率,数据分析报告,选择率,0.2,32,160
Q3,多选题选择率,市场调研报告,选择率,0.19375,31,160
Q3,多选题选择率,项目实施总结,选择率,0.13125,21,160
Q3,多选题选择率,客户案例分析,选择率,0.09375,15,160
Q3,多选题选择率,其他(请注明):（产品宣传册）,选择率,0.00625,1,160
Q3,多选题选择率,其他(请注明):（审计报告）,选择率,0.00625,1,160
Q3,多选题选择率,其他(请注明):（未实习）,选择率,0.00625,1,160
Q3,多选题选择率,其他(请注明):（研报）,选择率,0.00625,1,160
Q3,多选题选择率,其他(请注明):（竞争对手分析ppt）,选择率,0.00625,1,160
Q7,多选题选择率,与我的实习/工作内容直接相关,选择率,0.6875,110,160
Q7,多选题选择率,"能真正解决实际问题,有成就感",选择率,0.5875,94,160
Q7,多选题选择率,相对容易获得数据和企业支持,选择率,0.425,68,160
Q7,多选题选择率,对未来就业有帮助,选择率,0.39375,63,160
Q7,多选题选择率,更能展示我的实践能力,选择率,0.18125,29,160
Q7,多选题选择率,工作量相对可控,选择率,0.08125,13,160
Q8,多选题选择率,企业内部保密性过强无法公开的材料,选择率,0.65625,105,160
Q8,多选题选择率,缺乏数据支撑的主观建议  简单的文献综述类报告,选择率,0.575,92,160
Q8,多选题选择率,纯粹的实习日志或工作总结,选择率,0.4875,78,160
Q8,多选题选择率,团队合作项目中个人贡献难以界定的成果,选择率,0.3,48,160
Q8,多选题选择率,其他(请注明):〖企业数据不能公开）,选择率,0.00625,1,160
Q11,多选题选择率,不知道什么类型的实践成果能被学院认可,选择率,0.625,100,160
Q11,多选题选择率,担心做了企业项目最后论文评审不通过,选择率,0.56875,91,160
Q11,多选题选择率,不清楚实践成果的具体质量要求,选择率,0.41875,67,160
Q11,多选题选择率,企业不愿意配合或提供真实数据,选择率,0.30625,49,160
Q11,多选题选择率,缺乏实践成果撰写的模板和范例,选择率,0.3,48,160
Q11,多选题选择率,担心实践成果比写论文更难/工作量更大,选择率,0.19375,31,160
Q11,多选题选择率,不知道如何平衡学术性与实践性,选择率,0.14375,23,160
Q12,多选题选择率,与MIB不同专业方向(跨境电商、国际投资等)的匹配度,选择率,0.61875,99,160
Q12,多选题选择率,与学生实习岗位和职业规划的相关性,选择率,0.56875,91,160
Q12,多选题选择率,成果类型的多样性和灵活性,选择率,0.48125,77,160
Q12,多选题选择率,各类成果的质量标准清晰可操作,选择率,0.35625,57,160
Q12,多选题选择率,提供不同类型成果的模板和优秀范例,选择率,0.30625,49,160
Q12,多选题选择率,明确各类成果的最低字数/工作量要求,选择率,0.15,24,160
Q13,多选题选择率,不同类型实践成果的撰写模板,选择率,0.6625,106,160
Q13,多选题选择率,优秀实践成果案例库,选择率,0.58125,93,160
Q13,多选题选择率,企业项目对接平台,选择率,0.54375,87,160
Q13,多选题选择率,实践成果评价指标细则和评分表,选择率,0.4875,78,160
Q13,多选题选择率,实践成果撰写工作坊/专题培训,选择率,0.1875,30,160
Q13,多选题选择率,导师指导手册,选择率,0.05,8,160
Q6,排序题加权得分,国际商务案例分析(基于真实企业编写教学案例),加权得分,213.0,,160
Q6,排序题加权得分,企业咨询报告(为企业提供市场分析、 战略建议等),加权得分,164.0,,160
